id,actor_1_gender,actor_2_gender,actor_3_gender,actor_1_name,actor_2_name,actor_3_name,director_gender,director_name
862,2,2,2,Tom Hanks,Tim Allen,Don Rickles,2,John Lasseter
8844,2,2,1,Robin Williams,Jonathan Hyde,Kirsten Dunst,2,Joe Johnston
15602,2,2,1,Walter Matthau,Jack Lemmon,Ann-Margret,2,Howard Deutch
31357,1,1,1,Whitney Houston,Angela Bassett,Loretta Devine,2,Forest Whitaker
11862,2,1,2,Steve Martin,Diane Keaton,Martin Short,2,Charles Shyer
949,2,2,2,Al Pacino,Robert De Niro,Val Kilmer,2,Michael Mann
11860,2,1,2,Harrison Ford,Julia Ormond,Greg Kinnear,2,Sydney Pollack
45325,2,2,1,Jonathan Taylor Thomas,Brad Renfro,Rachael Leigh Cook,2,Peter Hewitt
9091,2,2,2,Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,2,Peter Hyams
710,2,2,1,Pierce Brosnan,Sean Bean,Izabella Scorupco,2,Martin Campbell
9087,2,1,2,Michael Douglas,Annette Bening,Michael J. Fox,2,Rob Reiner
12110,2,2,1,Leslie Nielsen,Mel Brooks,Amy Yasbeck,2,Mel Brooks
21032,2,2,1,Kevin Bacon,Bob Hoskins,Bridget Fonda,2,Simon Wells
10858,2,1,2,Anthony Hopkins,Joan Allen,Powers Boothe,2,Oliver Stone
1408,1,2,2,Geena Davis,Matthew Modine,Frank Langella,2,Renny Harlin
524,2,1,2,Robert De Niro,Sharon Stone,Joe Pesci,2,Martin Scorsese
4584,1,1,2,Kate Winslet,Emma Thompson,Hugh Grant,2,Ang Lee
5,2,2,1,Tim Roth,Antonio Banderas,Jennifer Beals,1,Allison Anders
9273,2,2,2,Jim Carrey,Ian McNeice,Simon Callow,2,Steve Oedekerk
11517,2,2,1,Wesley Snipes,Woody Harrelson,Jennifer Lopez,2,Joseph Ruben
8012,2,2,1,John Travolta,Gene Hackman,Rene Russo,2,Barry Sonnenfeld
1710,1,1,2,Sigourney Weaver,Holly Hunter,Will Patton,2,Jon Amiel
9691,2,2,1,Sylvester Stallone,Antonio Banderas,Julianne Moore,2,Richard Donner
12665,1,2,2,Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,2,Victor Salva
451,2,1,2,Nicolas Cage,Elisabeth Shue,Julian Sands,2,Mike Figgis
16420,2,1,2,Laurence Fishburne,Irène Jacob,Kenneth Branagh,2,Oliver Parker
9263,1,0,1,Christina Ricci,Rosie O'Donnell,Thora Birch,1,Lesli Linka Glatter
17015,1,2,1,Amanda Root,Ciarán Hinds,Susan Fleetwood,2,Roger Michell
902,2,2,0,Ron Perlman,Dominique Pinon,Judith Vittet,2,Jean-Pierre Jeunet
37557,1,0,0,Gong Li,Li Bao-Tian,Wang Xiaoxiao,2,Zhang Yimou
